city_ascii;lng;lat;population
McClellan Park;-121.4015;38.6631;1060
Industry;-117.9268;34.0175;204
Chilcoot-Vinton;-120.1388;39.8067;140
Garnet;-116.4796;33.9179;5831
Lake Riverside;-116.8107;33.5173;984
Lakeview;-117.1233;33.8285;2399
Duarte;-117.9504;34.1609;21757
San Juan Capistrano;-117.6544;33.5009;36064
Wofford Heights;-118.4731;35.7127;1606
Arvin;-118.8306;35.1944;21566.0
Monterey Park;-118.1326;34.0497;61044
Turlock;-120.8587;37.5053;107208.0
Indio Hills;-116.2484;33.8411;973
Mecca;-116.0645;33.5767;7893
Downey;-118.1312;33.9379;113092
Alameda;-122.2673;37.7670;79177
Three Rivers;-118.8806;36.4319;2243
Pine Mountain Club;-119.1669;34.8446;1571
Pasatiempo;-122.0265;37.0035;778
Salton City;-115.9609;33.2994;5487
Sleepy Hollow;-122.5877;38.0120;2239
Lake Mathews;-117.3683;33.8250;6402
McGee Creek;-118.7910;37.5727;15
Rouse;-121.0084;37.6195;2044
Hornitos;-120.2420;37.5034;0
Tipton;-119.3130;36.0585;3152
Stanford;-122.1674;37.4252;15277
Beverly Hills;-118.4021;34.0786;34484
Benton;-118.4845;37.8189;293
Strawberry;-122.5078;37.8925;5558
Los Altos Hills;-122.1390;37.3672;8580
Little River;-123.7817;39.2703;82
Bucks Lake;-121.1941;39.8798;16
Chowchilla;-120.2349;37.1095;11740.0
Bishop;-118.3958;37.3665;9630.0
University of California-Merced;-120.4190;37.3666;0
Hartley;-121.9521;38.4203;2807
Valinda;-117.9301;34.0400;25080
Commerce;-118.1519;33.9963;12947
Vandenberg AFB;-120.5182;34.7483;3450
Thermal;-116.1309;33.6262;2166
Topanga;-118.6053;34.0964;7705
Temelec;-122.4982;38.2577;1641
Hasley Canyon;-118.6665;34.4817;1068
Paynes Creek;-121.9174;40.3410;53
Malaga;-119.7318;36.6816;1287
Hawthorne;-118.3476;33.9146;87854
Cantua Creek;-120.3164;36.5001;386
Rancho Tehama Reserve;-122.4418;40.0010;2259
Spring Valley;-116.9766;32.7317;30439
Belden;-121.2541;40.0040;0
Lakehead;-122.3924;40.9007;596
San Pasqual;-118.1025;34.1392;1966
Santa Barbara;-119.7202;34.4285;204034.0
Highgrove;-117.3098;34.0106;4302
Nipinnawasee;-119.7293;37.4031;417
Kensington;-122.2805;37.9084;5573
Cazadero;-123.0978;38.5265;285
Winton;-120.6173;37.3854;11487
Garey;-120.3141;34.8869;137
Tahoma;-120.1438;39.0633;675
Rancho Murieta;-121.0716;38.5085;5424
Stallion Springs;-118.6477;35.0935;3417
Mettler;-118.9729;35.0635;114
Healdsburg;-122.8651;38.6229;11840
Farmington;-121.0044;37.9299;103
Mayfair;-119.7612;36.7694;4953
Coronita;-117.6110;33.8760;2961
Felton;-122.0804;37.0392;3671
Hillsborough;-122.3587;37.5573;11486
Point Reyes Station;-122.8093;38.0847;443
Tranquillity;-120.2526;36.6480;758
Nord;-121.9548;39.7739;492
La Habra Heights;-117.9509;33.9603;5403
Madera Acres;-120.0799;37.0123;9947
Crest;-116.8671;32.8000;2767
Lakewood;-118.1221;33.8471;80967
Paradise;-121.6063;39.7558;35337.0
Rollingwood;-122.3305;37.9655;3477
Bridgeport;-119.2123;38.2561;629
Bangor;-121.4117;39.3761;524
Oak Hills;-117.4125;34.3912;10541
Freeport;-121.5022;38.4636;32
Samoa;-124.1893;40.8146;207
Cottonwood;-122.2861;40.3904;3268
Trinity Center;-122.7083;40.9841;202
Lynwood;-118.2017;33.9240;71099
Paskenta;-122.5457;39.8834;83
Clear Creek;-121.0531;40.3023;305
Eastvale;-117.5802;33.9617;63211
Greenville;-120.9454;40.1336;890
Dollar Point;-120.1089;39.1905;963
Tulare;-119.3401;36.1996;63855
Sunny Slopes;-118.6759;37.5694;77
Norwalk;-118.0829;33.9069;106084
Alpaugh;-119.4873;35.8876;1080
Point Arena;-123.6954;38.9123;453
Coto de Caza;-117.5862;33.5961;14799
Carpinteria;-119.5117;34.3962;13622
Berkeley;-122.2760;37.8723;122324
Heber;-115.5204;32.7318;4273
Airport;-120.9774;37.6324;1547
Taft;-119.4243;35.1267;15143.0
Bystrom;-120.9827;37.6199;4136
Discovery Bay;-121.6076;37.9071;15525
Canby;-120.8843;41.4477;546
Huntington Park;-118.2167;33.9800;58822
Goleta;-119.8595;34.4360;31116
Gerber;-122.1482;40.0614;1280
Fruitridge Pocket;-121.4558;38.5326;6074
Moss Beach;-122.5036;37.5185;3915
Good Hope;-117.2772;33.7706;9369
Reedley;-119.4473;36.5983;48970.0
Chula Vista;-117.0145;32.6281;270471
Linden;-121.0994;38.0186;2102
Scotia;-124.1032;40.4774;734
Ramona;-116.8767;33.0474;21871
Camp Pendleton South;-117.3791;33.2284;12770
Benbow;-123.7653;40.0603;152
East Oakdale;-120.8007;37.7854;3146
Riverbank;-120.9402;37.7268;24740
Flournoy;-122.4461;39.9284;165
Long Beach;-118.1675;33.7980;469450
Petaluma;-122.6267;38.2423;67316.0
Bodfish;-118.4764;35.5765;1593
Santa Susana;-118.6662;34.2580;1042
Novato;-122.5576;38.0920;55980
Nevada City;-121.0231;39.2607;3136
Weedpatch;-118.9123;35.2369;2052
Marin City;-122.5137;37.8711;3016
Ione;-120.9422;38.3613;7730.0
Mountain Gate;-122.3262;40.7184;971
Mount Hermon;-122.0533;37.0511;958
Grayson;-121.1794;37.5650;1083
Del Rey Oaks;-121.8381;36.5929;1687
Casmalia;-120.5311;34.8376;147
Ridgecrest;-117.6621;35.6308;32579.0
Vine Hill;-122.0873;38.0071;4108
Raisin City;-119.9092;36.6033;313
Green Valley;-122.1621;38.2606;1314
Sutter;-121.7492;39.1557;2948
Perris;-117.2233;33.7899;77879
Avalon;-118.3315;33.3342;3687.0
Kettleman City;-119.9628;36.0089;1574
Ceres;-120.9625;37.5953;48697
Shandon;-120.3832;35.6536;1219
Sierraville;-120.3637;39.5750;80
Desert Hot Springs;-116.5430;33.9551;43730.0
West Whittier-Los Nietos;-118.0689;33.9759;27002
Auburn;-121.0777;38.8950;34818.0
Weaverville;-122.9274;40.7488;3303
Desert Shores;-116.0394;33.4041;982
Calpella;-123.1970;39.2322;343
Lookout;-121.1545;41.2100;63
Twentynine Palms;-116.0659;34.1478;13664.0
Watsonville;-121.7706;36.9206;77700.0
Kentfield;-122.5498;37.9481;6927
Colma;-122.4526;37.6767;1514
Edna;-120.6060;35.2108;195
Idlewild;-118.6704;35.8096;0
Lake Don Pedro;-120.3368;37.6461;1135
South Pasadena;-118.1573;34.1103;25888
Poplar-Cotton Center;-119.1493;36.0564;2660
Wrightwood;-117.6299;34.3495;4286
San Gabriel;-118.0990;34.0948;40514
Woodbridge;-121.3113;38.1692;3993
Soledad;-121.3431;36.4434;26483.0
Old Station;-121.4228;40.6722;34
Three Rocks;-120.3936;36.5051;193
El Portal;-119.7990;37.6736;378
West Point;-120.5374;38.4043;590
Camanche North Shore;-120.9538;38.2442;928
Glendora;-117.8467;34.1449;52445
Terminous;-121.4896;38.1154;494
Hood;-121.5155;38.3693;309
Atwater;-120.5981;37.3543;29397
Sierra Madre;-118.0504;34.1687;11038
Crescent Mills;-120.9217;40.1008;266
Antioch;-121.7957;37.9789;302885.0
Warner Valley;-121.3174;40.3955;0
Minkler;-119.4587;36.7277;1207
Fiddletown;-120.7605;38.5091;393
Bell Gardens;-118.1550;33.9663;42747
Pine Grove;-120.6606;38.4074;2137
Windsor;-122.8086;38.5418;27548
West Puente Valley;-117.9681;34.0512;23487
Santa Monica;-118.4813;34.0232;92306
Lone Pine;-118.0777;36.5774;1767
Tuttletown;-120.4503;38.0003;1044
Coarsegold;-119.7000;37.2526;1180
Parkwood;-120.0482;36.9293;2334
Lucerne;-122.7760;39.0697;3144
Kingvale;-120.4386;39.3204;146
Sultana;-119.3360;36.5464;1188
Lawndale;-118.3531;33.8884;33078
French Valley;-117.1069;33.5998;31353
Piedmont;-122.2301;37.8226;11378
La Canada Flintridge;-118.2002;34.2097;20413
Elk Creek;-122.5376;39.6002;251
Las Lomas;-121.7317;36.8689;3762
Goodyears Bar;-120.8881;39.5458;33
Murphys;-120.4348;38.1447;2070
South Lake Tahoe;-119.9828;38.9393;29890.0
Leggett;-123.7253;39.8634;102
El Rancho;-119.0690;36.2207;103
Arcata;-124.0757;40.8615;33806.0
Laytonville;-123.4945;39.6715;1254
Crowley Lake;-118.7465;37.5692;875
Silver Lakes;-117.3431;34.7519;6437
North Tustin;-117.7945;33.7644;25364
Galt;-121.3000;38.2693;27571.0
Stevinson;-120.8497;37.3247;351
Fort Washington;-119.7613;36.8793;756
East Hemet;-116.9410;33.7301;19951
Cherokee;-121.5345;39.6514;78
Placentia;-117.8553;33.8807;52157
Santa Maria;-120.4432;34.9333;140219.0
Clovis;-119.6838;36.8277;109691
Seeley;-115.6842;32.7899;1573
Patterson;-121.1438;37.4738;22523.0
Bay Point;-121.9616;38.0328;23708
Cold Springs;-120.8761;38.7468;637
Littlerock;-117.9808;34.5232;1998
Beale AFB;-121.3542;39.1095;992
San Bruno;-122.4313;37.6254;43299
Portola;-120.4732;39.8242;2313.0
Friant;-119.7130;36.9848;552
South San Gabriel;-118.0962;34.0489;8964
Pierpoint;-118.6296;36.1405;0
Eagleville;-120.1147;41.3191;89
Olancha;-118.0015;36.2704;185
Wildomar;-117.2583;33.6173;36932
Larkspur;-122.5313;37.9394;12396
Laguna Niguel;-117.7050;33.5275;66334
San Ramon;-121.9365;37.7625;75931
Cowan;-120.9888;37.5601;530
Bend;-122.2095;40.2561;505
Sequoia Crest;-118.6256;36.1858;0
Lemoore;-119.7983;36.2960;26355
Lake California;-122.2102;40.3608;2888
Grand Terrace;-117.3132;34.0312;12595
Cohasset;-121.7448;39.9027;1107
West Athens;-118.3033;33.9235;8746
Hamilton City;-122.0125;39.7422;2357
Diamond Springs;-120.8391;38.6920;11717
Mokelumne Hill;-120.7061;38.3057;604
Mira Monte;-119.2853;34.4284;6916
Isla Vista;-119.8581;34.4144;27484
Del Monte Forest;-121.9439;36.5857;4575
Vina;-122.0518;39.9343;182
Harbison Canyon;-116.8381;32.8273;4199
Byron;-121.6421;37.8756;1480
Graniteville;-120.7360;39.4443;0
Aptos;-121.8934;36.9912;5775
East Pasadena;-118.0775;34.1377;6288
Proberta;-122.1776;40.0762;218
Fetters Hot Springs-Agua Caliente;-122.4871;38.3274;4848
Palo Verde;-114.7273;33.4279;86
Orosi;-119.2903;36.5434;7760
Irwindale;-117.9636;34.1121;1461
Burney;-121.6691;40.8846;3676
Fontana;-117.4599;34.0968;211815
Bethel Island;-121.6404;38.0288;2379
California Pines;-120.6605;41.4117;328
Clio;-120.5725;39.7487;42
Cotati;-122.7092;38.3279;7479
West Hollywood;-118.3719;34.0883;37080
Loleta;-124.2225;40.6408;591
Etna;-122.8946;41.4582;720
San Bernardino;-117.2945;34.1417;216995
Jurupa Valley;-117.4706;34.0010;106028
Castle Hill;-122.0574;37.8730;1232
Parklawn;-120.9793;37.6069;1340
Valley Wells;-117.3366;35.8761;0
Colton;-117.3254;34.0538;54828
Santa Venetia;-122.5033;38.0055;4924
Loyalton;-120.2448;39.6768;706
Camp Pendleton North;-117.3162;33.3148;7443
Red Bluff;-122.2413;40.1735;18709.0
Sattley;-120.4357;39.6265;57
Bell;-118.1798;33.9801;35811
Rough and Ready;-121.1381;39.2341;786
Tehama;-122.1269;40.0218;422
Clarksburg;-121.5415;38.4193;511
Caspar;-123.8044;39.3631;924
Carnelian Bay;-120.0766;39.2348;438
La Mirada;-118.0093;33.9025;49095
San Antonio Heights;-117.6592;34.1571;3092
Arcadia;-118.0373;34.1342;58799
Lake Hughes;-118.4588;34.6833;624
Frazier Park;-118.9542;34.8122;2440
San Joaquin;-120.1897;36.6057;4024.0
Rancho Calaveras;-120.8570;38.1248;6437
Ben Lomond;-122.0882;37.0782;6923
Litchfield;-120.3809;40.3876;152
Porterville;-119.0338;36.0644;76729.0
Templeton;-120.7182;35.5560;7989
Earlimart;-119.2715;35.8824;8824
Salmon Creek;-123.0595;38.3463;49
Vista Santa Rosa;-116.2126;33.6227;3318
Bluewater;-114.2640;34.1760;178
Loomis;-121.1955;38.8093;6809
Oak Glen;-116.9497;34.0448;439
Lemon Grove;-117.0344;32.7331;27108
Challenge-Brownsville;-121.2632;39.4646;837
Stevenson Ranch;-118.5885;34.3894;19666
Coffee Creek;-122.7136;41.0802;298
Ruth;-123.3483;40.2943;214
Summerland;-119.5893;34.4255;1108
Franklin;-120.5321;37.3277;7471
Orangevale;-121.2208;38.6880;34467
Big Pine;-118.2951;37.1655;1605
Matheny;-119.3516;36.1707;1221
Ukiah;-123.2105;39.1463;29637.0
Olivehurst;-121.5549;39.0817;13500
Redlands;-117.1712;34.0511;71554
Laguna Hills;-117.6992;33.5920;31318
Shelter Cove;-124.0558;40.0389;477
West Menlo Park;-122.2034;37.4338;3744
Martell;-120.8039;38.3623;298
Rocklin;-121.2488;38.8075;64838
Grangeville;-119.7074;36.3439;547
South San Francisco;-122.4197;37.6536;67429
Hercules;-122.2564;38.0064;25545
North Auburn;-121.0821;38.9306;13395
Redwood City;-122.2252;37.5026;86685
Sutter Creek;-120.8107;38.3827;2575
Dos Palos Y;-120.6395;37.0468;279
Dixon;-121.8250;38.4467;20304.0
Homeland;-117.1132;33.7459;7471
Lee Vining;-119.1221;37.9547;102
Catheys Valley;-120.0936;37.4371;774
Dutch Flat;-120.8345;39.2080;165
Cabazon;-116.7828;33.9127;3928
Tennant;-121.9148;41.5818;30
Linnell Camp;-119.2225;36.3089;865
Vallecito;-120.4563;38.0740;330
Garden Grove;-117.9601;33.7787;174226
Fremont;-121.9852;37.5265;234962
Fruitdale;-121.9357;37.3117;888
Lathrop;-121.3130;37.8090;22781
Blairsden;-120.6109;39.7752;36
Coalinga;-120.3266;36.1432;15915.0
Garden Acres;-121.2296;37.9637;10931
Coulterville;-120.1991;37.7106;85
Moreno Valley;-117.2045;33.9244;207226
East Nicolaus;-121.5443;38.9100;236
Lakeland Village;-117.3706;33.6480;13343
West Rancho Dominguez;-118.2682;33.9057;23537
Pala;-117.0696;33.3617;977
Plumas Lake;-121.5580;38.9924;6976
Atascadero;-120.6858;35.4827;30418
California City;-117.8720;35.1578;10794.0
Trinidad;-124.1434;41.0589;360
Benicia;-122.1541;38.0704;28343
Knights Landing;-121.7176;38.7979;1028
French Gulch;-122.6311;40.7166;474
Mount Laguna;-116.4247;32.8711;0
Paradise Park;-122.0425;37.0063;521
Nuevo;-117.1415;33.8011;7017
Solana Beach;-117.2575;32.9942;13444
Oak Shores;-120.9817;35.7624;305
Ladera;-122.1991;37.3996;1553
Millbrae;-122.4024;37.5994;22718
Culver City;-118.3968;34.0058;39283
Castroville;-121.7535;36.7650;6689
Delft Colony;-119.4465;36.5120;349
Chico;-121.8152;39.7575;106268.0
El Cajon;-116.9604;32.8017;103894
Rio Oso;-121.5310;38.9518;421
Crescent City;-124.1902;41.7727;15886.0
Truckee;-120.1848;39.3454;12418.0
Greenfield;-121.2451;36.3232;17647.0
Martinez;-122.1160;37.9985;38373
South Monrovia Island;-117.9958;34.1234;6989
Port Hueneme;-119.2036;34.1617;22327
Fieldbrook;-124.0250;40.9723;865
Ontario;-117.6064;34.0393;175841
McClenney Tract;-118.6478;35.8220;27
Castro Valley;-122.0632;37.7092;63625
Murrieta;-117.1909;33.5720;483681.0
Gasquet;-123.9733;41.8429;955
Pittsburg;-121.8970;38.0185;72141
Hopland;-123.1173;38.9691;914
La Puente;-117.9533;34.0323;40322
Hacienda Heights;-117.9728;33.9970;54155
Montalvin Manor;-122.3300;37.9977;2800
Taylorsville;-120.8386;40.0587;264
Bradbury;-117.9684;34.1536;1093
Cudahy;-118.1830;33.9631;24076
Grass Valley;-121.0521;39.2237;34650.0
Big River;-114.3604;34.1393;1031
Myrtletown;-124.1286;40.7888;5145
Markleeville;-119.8226;38.6840;190
South Oroville;-121.5439;39.4767;3062
Palos Verdes Estates;-118.3976;33.7871;13544
Monterey Park Tract;-121.0115;37.5268;284
Janesville;-120.5335;40.2809;1298
Denair;-120.7994;37.5262;4988
Orinda;-122.1790;37.8808;19730
Huron;-120.0961;36.2040;7311.0
Rainbow;-117.1394;33.4098;2041
Ridgemark;-121.3623;36.8083;3020
Citrus Heights;-121.2880;38.6948;87931
Lake of the Woods;-119.0027;34.8226;1260
Oak View;-119.2976;34.3990;4472
South Dos Palos;-120.6467;36.9707;2201
Anchor Bay;-123.5704;38.8126;347
Boonville;-123.3740;39.0115;972
La Verne;-117.7702;34.1208;32461
Albion;-123.7564;39.2256;253
Oildale;-119.0279;35.4249;34496
Westmont;-118.3018;33.9417;33532
La Selva Beach;-121.8445;36.9276;2746
Collierville;-121.2675;38.2141;2315
Lafayette;-122.1189;37.8919;26440
Walker;-119.4582;38.5341;721
Caribou;-121.1616;40.0761;0
Monterey;-121.8807;36.5922;28639
East Los Angeles;-118.1691;34.0326;123905
Sonoma;-122.4598;38.2902;34089.0
Groveland;-120.2394;37.8325;446
Merced;-120.4779;37.3057;144117.0
Aspen Springs;-118.7087;37.5500;58
San Simeon;-121.1375;35.6182;523
Le Grand;-120.2540;37.2288;1637
Westwood;-121.0044;40.3049;1662
Soda Springs;-120.3785;39.3248;53
Carmel-by-the-Sea;-121.9222;36.5528;3897
Del Mar;-117.2627;32.9633;4363
Desert View Highlands;-118.1536;34.5902;2514
Mountain Ranch;-120.5119;38.2509;1045
Blue Lake;-123.9931;40.8813;1265
Waterford;-120.7553;37.6429;9632.0
Alum Rock;-121.8241;37.3694;12128
North Lakeport;-122.9054;39.0883;3283
Menifee;-117.1849;33.6909;90595
Bowles;-119.7526;36.6089;185
Boronda;-121.6745;36.6947;1259
Charter Oak;-117.8564;34.1025;9481
Big Creek;-119.2487;37.2035;170
Monument Hills;-121.8756;38.6641;2038
Avila Beach;-120.7192;35.1971;1080
California Hot Springs;-118.6561;35.8863;45
Keene;-118.6103;35.2330;348
Sand City;-121.8478;36.6189;387
Rutherford;-122.4231;38.4568;77
Canyondam;-121.0769;40.1699;96
Tustin;-117.8106;33.7309;80498
Victor;-121.1987;38.1385;384
Kelly Ridge;-121.4662;39.5289;2540
Val Verde;-118.6717;34.4504;2928
Farmersville;-119.2081;36.3054;10778
Saranap;-122.0761;37.8878;6235
Richmond;-122.3390;37.9477;110040
Santa Cruz;-122.0346;36.9789;177556.0
Happy Camp;-123.3892;41.8103;800
Hornbrook;-122.5596;41.9079;216
Corralitos;-121.7892;36.9941;2920
Wilkerson;-118.3877;37.2794;504
Midpines;-119.9485;37.5531;1424
Twin Lakes;-121.9896;36.9646;5570
Alhambra;-118.1355;34.0840;85396
Suisun City;-122.0086;38.2471;29639
Tooleville;-119.1154;36.2878;432
Parkway;-121.4520;38.4993;16166
Calwa;-119.7609;36.7136;1555
Bakersfield;-119.0359;35.3530;574362.0
Phillipsville;-123.7844;40.2117;69
Lemoore Station;-119.9049;36.2633;6601
Lake Los Angeles;-117.8339;34.6097;11820
Aromas;-121.6404;36.8771;2650
Edwards AFB;-117.9294;34.9045;2410
Winter Gardens;-116.9268;32.8376;22237
Mammoth Lakes;-118.9900;37.6273;7598.0
Fullerton;-117.9279;33.8841;140392
Gustine;-120.9949;37.2545;5844.0
Delano;-119.2637;35.7670;54471.0
San Francisco;-122.4430;37.7562;3603761.0
East Sonora;-120.3410;37.9777;2319
Foothill Farms;-121.3475;38.6867;33627
Lake City;-120.2255;41.6460;62
Terra Bella;-119.0328;35.9567;3110
Phoenix Lake;-120.3090;38.0074;4278
Edgewood;-122.4259;41.4621;25
Pike;-120.9996;39.4278;126
Muir Beach;-122.5858;37.8654;255
Woodlake;-119.0999;36.4124;7844.0
Dana Point;-117.6969;33.4733;33934
Lockwood;-121.0802;35.9412;591
Mount Shasta;-122.3150;41.3206;7536.0
Woodcrest;-117.3686;33.8789;16527
Woodside;-122.2591;37.4221;5564
El Verano;-122.4915;38.2975;3663
Squirrel Mountain Valley;-118.4047;35.6175;1339
Woodlands;-120.5524;35.0289;1494
Tuolumne City;-120.2428;37.9615;1372
Seville;-119.2247;36.4856;565
Shasta;-122.4797;40.5911;1776
San Fernando;-118.4363;34.2886;24714
Lompoc;-120.4714;34.6618;52856.0
South Gate;-118.1926;33.9448;95430
Bolinas;-122.7095;37.9177;1219
Norris Canyon;-121.9878;37.7454;977
Hemet;-116.9969;33.7341;176892.0
Chalfant;-118.3750;37.5105;981
Spaulding;-120.7863;40.6556;124
Hamilton Branch;-121.0961;40.2772;627
Arbuckle;-122.0610;39.0141;3548
Philo;-123.4452;39.0657;246
Lexington Hills;-121.9879;37.1616;2531
Gazelle;-122.5215;41.5137;42
Forbestown;-121.2689;39.5300;370
Loma Mar;-122.3007;37.2658;201
Little Grass Valley;-120.9591;39.7252;0
Goshen;-119.4210;36.3518;3561
Antelope;-121.3610;38.7153;47728
Humboldt Hill;-124.1987;40.7219;4217
Guerneville;-122.9894;38.5137;4570
Fresno;-119.7941;36.7831;698021.0
East Foothills;-121.8138;37.3827;6405
North El Monte;-118.0239;34.1029;3832
Union City;-122.0187;37.6030;75343
Walnut;-117.8593;34.0334;30199
El Granada;-122.4660;37.5134;6286
Orange;-117.8218;33.8038;140560
Deer Park;-122.4679;38.5361;1149
Bradley;-120.8042;35.8628;149
Buena Park;-118.0046;33.8572;83015
Fort Bidwell;-120.1589;41.8629;223
Citrus;-117.8890;34.1161;11489
Camino;-120.6814;38.7412;1652
Newman;-121.0211;37.3157;11360.0
Loma Linda;-117.2498;34.0451;24196
River Pines;-120.7475;38.5454;452
Garden Farms;-120.6140;35.4158;279
Moskowite Corner;-122.1945;38.4464;155
Pomona;-117.7626;34.0585;152939
Stratford;-119.8224;36.1884;966
Lake Elsinore;-117.3344;33.6846;66411
Covina;-117.8817;34.0903;48462
Larkfield-Wikiup;-122.7536;38.5130;9184
Cayucos;-120.8847;35.4375;2847
Albany;-122.3018;37.8898;20143
Fallbrook;-117.2258;33.3693;31121
Borrego Springs;-116.3572;33.2410;2077
Paramount;-118.1652;33.8977;54909
Winterhaven;-114.6378;32.7372;183
Dos Palos;-120.6337;36.9854;7383.0
Lake San Marcos;-117.2089;33.1197;4924
Manteca;-121.2266;37.7934;98736.0
Kerman;-120.0625;36.7249;14869.0
Nipomo;-120.4990;35.0323;16706
San Dimas;-117.8090;34.1082;34326
Loyola;-122.0980;37.3502;3448
Buttonwillow;-119.4406;35.4092;1517
Keswick;-122.4606;40.6135;449
Marina del Rey;-118.4486;33.9765;9691
Vincent;-117.9238;34.0982;17485
Greenhorn;-120.7590;39.9030;220
Santa Rosa Valley;-118.9023;34.2453;3456
Westhaven-Moonstone;-124.1023;41.0447;1153
Creston;-120.5210;35.5173;52
French Camp;-121.2803;37.8802;3710
Forest Meadows;-120.4052;38.1664;1715
Davis;-121.7365;38.5552;76524.0
Hollister;-121.3981;36.8563;46183.0
El Rio;-119.1568;34.2453;7229
Morro Bay;-120.8482;35.3681;10635
Monte Rio;-123.0147;38.4683;1009
Cameron Park;-120.9872;38.6737;19706
Lakeport;-122.9218;39.0392;16614.0
Upper Lake;-122.9052;39.1653;964
Georgetown;-120.8356;38.9111;2393
Malibu;-118.7845;34.0368;12877
Hartland;-118.9553;36.6518;0
Redondo Beach;-118.3766;33.8574;67908
Lake Almanor West;-121.2020;40.2335;183
Lamont;-118.9159;35.2651;15597
Bieber;-121.1336;41.1251;170
Moss Landing;-121.7872;36.8019;55
Anaheim;-117.8573;33.8390;352497
Mojave;-118.1895;35.0139;4222
Camanche Village;-120.9866;38.2662;755
Julian;-116.5889;33.0735;878
Bell Canyon;-118.6876;34.2081;2150
Biggs;-121.7100;39.4132;1711
Florin;-121.4042;38.4832;49226
Talmage;-123.1648;39.1314;1156
Linda;-121.5421;39.1242;19072
Butte Valley;-121.6363;39.6571;695
West Carson;-118.2931;33.8229;22260
Fall River Mills;-121.4401;41.0069;443
Claremont;-117.7153;34.1259;36015
Pleasant Hill;-122.0759;37.9540;34987
Santa Ynez;-120.0944;34.6151;4377
Santa Clarita;-118.4992;34.4155;309378.0
Derby Acres;-119.6039;35.2440;320
Hanford;-119.6544;36.3264;92066.0
Clearlake;-122.6331;38.9590;15751.0
Morada;-121.2456;38.0386;4478
Brea;-117.8654;33.9254;42777
Lake Arrowhead;-117.1945;34.2531;10612
Drytown;-120.8565;38.4382;201
Los Angeles;-118.4068;34.1139;12815475.0
Smartsville;-121.2928;39.2053;140
Calipatria;-115.5056;33.1493;7558
Esparto;-122.0241;38.6934;3732
Manchester;-123.6910;38.9743;168
Monmouth;-119.7405;36.5656;160
Rio Dell;-124.1105;40.5024;4127.0
Princeton;-122.0212;39.4029;287
Mountain View Acres;-117.3472;34.4976;3869
Lake of the Pines;-121.0642;39.0378;4193
Yolo;-121.8093;38.7405;402
Penn Valley;-121.1942;39.1954;1892
McKittrick;-119.6249;35.2981;145
Soulsbyville;-120.2617;37.9917;2348
Thousand Oaks;-118.8755;34.1914;218729.0
Fairmead;-120.1937;37.0775;2005
Grover Beach;-120.6199;35.1204;13628
Westmorland;-115.6223;33.0389;2284
West Bishop;-118.4542;37.3571;2923
Lebec;-118.8992;34.8450;1557
Crows Landing;-121.0843;37.3947;209
Hardwick;-119.7207;36.4026;59
Pine Hills;-124.1551;40.7313;2986
Gold River;-121.2487;38.6268;7460
Mill Valley;-122.5420;37.9085;14355
Topaz;-119.5274;38.6587;183
Glendale;-118.2468;34.1818;203054
Pixley;-119.2889;35.9769;4008
Santa Rosa;-122.7067;38.4458;321908.0
Whitley Gardens;-120.5068;35.6571;293
Richgrove;-119.1069;35.7966;2923
Los Banos;-120.8405;37.0631;39122.0
Volta;-120.9235;37.0875;231
Fillmore;-118.9181;34.3990;15895.0
Bret Harte;-121.0045;37.6021;5367
Brentwood;-121.7190;37.9356;62433
Shasta Lake;-122.3775;40.6790;10190
Cutten;-124.1446;40.7657;2907
Mead Valley;-117.2852;33.8333;20402
Nicolaus;-121.5729;38.8981;185
Fort Irwin;-116.6834;35.2476;9053
Mariposa;-119.9683;37.4873;1338
Wallace;-120.9586;38.1978;1002
Acampo;-121.2798;38.1735;520
Mentone;-117.1109;34.0609;10129
Waukena;-119.5109;36.1361;148
Desert Center;-115.3666;33.7378;156
Port Costa;-122.1850;38.0446;178
Cromberg;-120.6905;39.8684;154
Highland;-117.1654;34.1113;55342
Hidden Hills;-118.6612;34.1637;1921
Los Osos;-120.8249;35.3068;15714
Encinitas;-117.2613;33.0490;63184
Los Olivos;-120.1180;34.6647;788
Johnsville;-120.7130;39.7663;0
Pinon Hills;-117.6214;34.4438;7583
Sanger;-119.5576;36.6992;27582.0
Oakland;-122.2165;37.7903;425195
Shell Ridge;-122.0344;37.9060;1328
Greenacres;-119.1184;35.3831;5705
Lockeford;-121.1554;38.1508;3283
La Porte;-120.9852;39.6725;0
View Park-Windsor Hills;-118.3484;33.9955;11308
Indian Falls;-120.9803;40.0587;115
Tara Hills;-122.3188;37.9939;5160
East San Gabriel;-118.0807;34.1198;15832
Richfield;-122.1733;39.9738;275
Sea Ranch;-123.4528;38.7166;1137
Lake Sherwood;-118.8804;34.1339;1832
Cypress;-118.0386;33.8171;49064
Belvedere;-122.4662;37.8735;2126
Comptche;-123.5897;39.2651;71
Granite Bay;-121.1714;38.7601;22479
Forest Ranch;-121.6705;39.8952;557
Poway;-117.0201;32.9872;50041
Ballico;-120.7037;37.4519;383
Monrovia;-117.9921;34.1650;37061
Orick;-124.0692;41.2909;295
Lake Isabella;-118.4819;35.6378;4287
Bayview;-124.1786;40.7653;2466
Nubieber;-121.1816;41.0966;18
Lakeside;-116.9040;32.8560;21827
Diamond Bar;-117.8161;33.9991;56665
Visalia;-119.3269;36.3276;234573.0
Lindcove;-119.0721;36.3595;419
