city_ascii;lng;lat;population
South San Jose Hills;-117.9041;34.0123;20423
Weed;-122.3816;41.4128;2716
Mountain House;-121.5452;37.7740;15010
Big Bend;-121.9239;41.0108;107
Boyes Hot Springs;-122.4888;38.3126;7332
Lake Davis;-120.4630;39.8564;44
Alturas;-120.5516;41.4898;2615.0
Monson;-119.3358;36.4927;324
Daly City;-122.4684;37.6863;107074
Sierra Brooks;-120.2153;39.6426;318
London;-119.4440;36.4810;1872
Eureka;-124.1568;40.7941;45010.0
Aliso Viejo;-117.7289;33.5792;51671
Sunnyvale;-122.0257;37.3836;153656
Soda Bay;-122.7794;39.0024;1169
Cathedral City;-116.4642;33.8363;54596
East Richmond Heights;-122.3140;37.9451;3658
Hermosa Beach;-118.3966;33.8654;19708
Lake Almanor Country Club;-121.1470;40.2578;358
Brisbane;-122.4019;37.6898;4721
Cerritos;-118.0686;33.8677;51020
Corte Madera;-122.5129;37.9238;9864
Reliez Valley;-122.1026;37.9399;3769
Tobin;-121.2959;39.9361;0
Mountain View;-122.0796;37.4000;81438
Pleasure Point;-121.9715;36.9618;6381
Ross;-122.5615;37.9638;2480
Ponderosa;-118.5293;36.1050;0
Firebaugh;-120.4537;36.8534;8031.0
Selma;-119.6156;36.5744;44626.0
Portola Valley;-122.2203;37.3713;4611
Lodoga;-122.5058;39.3041;162
Sugarloaf Village;-118.6355;35.8269;7
Walnut Creek;-122.0398;37.9025;69773
Ferndale;-124.2619;40.5799;1373
Fortuna;-124.1424;40.5860;13375.0
Artesia;-118.0806;33.8676;16904
Kennedy;-121.2457;37.9290;3468
Salinas;-121.6317;36.6884;193590.0
Rancho Santa Fe;-117.1992;33.0240;2428
Burnt Ranch;-123.5082;40.8111;352
Clay;-121.1596;38.3140;1211
Rio Vista;-121.7034;38.1761;8686.0
Hayward;-122.0772;37.6328;160500
Butte Creek Canyon;-121.6969;39.7489;921
Jamestown;-120.4110;37.9574;2618
San Miguel;-122.0369;37.8867;3137
College City;-122.0068;39.0063;210
Colfax;-120.9532;39.0938;3210.0
June Lake;-119.1022;37.7677;383
Yankee Hill;-121.5147;39.7007;365
Lucas Valley-Marinwood;-122.5765;38.0405;7054
Douglas City;-122.9261;40.6636;533
Pioneer;-120.5848;38.4355;1432
Eucalyptus Hills;-116.9453;32.8850;5798
Boulder Creek;-122.1271;37.1341;4359
McFarland;-119.2414;35.6781;15234.0
Mountain Center;-116.7248;33.7112;85
Tonyville;-119.0903;36.2474;684
El Paso de Robles;-120.6560;35.6394;69735.0
Palmdale;-118.1057;34.5944;157519
Nicasio;-122.7008;38.0606;121
